x1,x2,x3,x4,x5,Доходность,Риск,ESG
0.0000,0.0000,0.0000,0.5400,0.4600,13.40,20.64,7.84
0.0000,0.0000,0.0000,0.5200,0.4800,13.20,20.32,7.92
0.0000,0.0000,0.0000,0.5000,0.5000,13.00,20.00,8.00
0.0000,0.0000,0.0000,0.4800,0.5200,12.80,19.68,8.08
0.0000,0.0000,0.0000,0.4600,0.5400,12.60,19.36,8.16
0.0000,0.0000,0.0000,0.4400,0.5600,12.40,19.04,8.24
0.0000,0.0000,0.0000,0.4200,0.5800,12.20,18.72,8.32
0.0000,0.0000,0.0000,0.4000,0.6000,12.00,18.40,8.40
0.0000,0.0000,0.0000,0.3800,0.6200,11.80,18.08,8.48
0.0000,0.0000,0.0000,0.3600,0.6400,11.60,17.76,8.56
0.0000,0.0000,0.0000,0.3400,0.6600,11.40,17.44,8.64
0.0000,0.0000,0.0000,0.3200,0.6800,11.20,17.12,8.72
0.0000,0.0000,0.0000,0.3000,0.7000,11.00,16.80,8.80
0.0000,0.0000,0.0000,0.2800,0.7200,10.80,16.48,8.88
0.0000,0.0000,0.0000,0.2600,0.7400,10.60,16.16,8.96
0.0000,0.0000,0.0000,0.2400,0.7600,10.40,15.84,9.04
0.0000,0.0000,0.0000,0.2200,0.7800,10.20,15.52,9.12
0.0000,0.0000,0.0000,0.2000,0.8000,10.00,15.20,9.20
0.0000,0.0000,0.0000,0.1800,0.8200,9.80,14.88,9.28
0.0000,0.0000,0.0000,0.1600,0.8400,9.60,14.56,9.36
0.0000,0.0000,0.0000,0.1400,0.8600,9.40,14.24,9.44
0.0000,0.0000,0.0000,0.1200,0.8800,9.20,13.92,9.52
0.0000,0.0000,0.0000,0.1000,0.9000,9.00,13.60,9.60
0.0000,0.0000,0.0000,0.0800,0.9200,8.80,13.28,9.68
0.0000,0.0000,0.0000,0.0600,0.9400,8.60,12.96,9.76
0.0000,0.0000,0.0000,0.0400,0.9600,8.40,12.64,9.84
0.0000,0.0000,0.0000,0.0200,0.9800,8.20,12.32,9.92
0.0000,0.0000,0.0000,0.0000,1.0000,8.00,12.00,10.00
